プラントID No,プラントコード名,プラント名称,運用開始日(年月日),前回定検日(年月日),定検周期(年),リスク評価年,機器ID No.,機器コード名,機器名称,機器の分類,部位ID No.,部位コード名,部位名称,機器使用開始日または更新日,初期肉厚[mm],腐食代[mm],最小肉厚[mm],前回計測肉厚[mm],前回計測日,減肉形態(全面減肉 or 局部減肉),注入/混合箇所の有無,滞留部の有無,炭化水素のﾀｲﾌﾟ,水溶液中の不純物の量(多いor少ない),"サワーウォーター腐食の腐食速度の算出方法(""NH4HS[%]""もしくは""Kp値"")",「減肉：アミン腐食」用アミンの種類,冷却方式の種類,溶解固型物[mg/L] (50-400 or 401-1000),エロージョン・コロージョン用の流れの種類,エロージョン・コロージョン用、過去の損傷事例の有無,材料のタイプ,使用運転時間(使用開始～前回検査) [Hrs],将来予想運転時間 [Hrs/year],プロセス最高運転温度[℃],流速,S[wt%],HSAS(熱安定アミン塩)濃度[wtppm],NH4HS[wt%],Kp値,H2S[mol%],フッ酸溶液[wt%],アミン濃度[wt%],酸濃度[wt%],TAN(全酸価)[mg KOG/g],酸性ガス負荷[酸性ガスmol/活性アミンmol],CaCO3のCa[mg/L],CaCO3のMOA(Methyl Orange Alkalinity)[mg/L],クラッディングの有無,酸素または酸化剤の有無,溶存酸素濃度が8ppm以上か?,減肉のオンラインモニタリング,ライニングに対するOn-Line Monitoringの有無,ライニングの設置日,ライニングの前回検査日,ライニングの次回検査日,ライニングの次回交換日,「応力腐食割れ：アミンSCC」用アミンの種類,ステンレス鋼種類,材料の熱履歴,過去にSCCが発生したか（損傷事例なし、損傷事例あり）,pH,Cl[ppm],金属表面温度[℃],NAOH[wt],H2S濃度[ppm],鋼板のS含有量[wt%],硬さの最大値[HBW],ヒートトレース施工の有無,水洗前にスチームパージ実施の有無,シアン化物イオンの存在有無,継目無鋼管製の有無,NACE RP0170に従った停止期間中の保護対策の実施有無,水素プローブのオンラインモニタリングの有無,主要プロセス変数のオンラインモニタリングの有無,外面最高運転温度[℃],外面前回塗装日,HTHA評価での材料種類,水素分圧[Mpa],高温環境での使用温度[℃],"多量のトランプエレメント(As, Sb, Sn, P)を含んでいる可能性があるか",過去に高温水素浸食が発生したかどうか,衝撃試験免除曲線,σ相の量,設計圧力近くへの圧力上昇と装置の温度低下が同時に起こることを防止する制御があるか,応力除去焼きなましの有無,装置が何年間も最低温度に曝されて問題なかった、または、その装置が披露やSCCの環境にないか,Brittle 板厚,管理温度[℃],設計温度[℃],運転温度[℃],流体の沸点[℃],衝撃試験温度[℃],衝撃試験免除温度[℃],指定されたMDMT,既知の遷移温度[℃],遷移温度は既知か,Jファクター値,Si[Wt%],P[Wt%],Mn[Wt%],Sn[Wt%],過去の疲労破損,可視的・可聴的振動,振動時間,15[m]以内に接続している周期的外力の源,適用された対策の種類,15[m]以内の範囲の複雑度,ジョイントや枝管の設計,配管の状態,2NPS未満の枝管の有無,P2NPS,炉管クリープに関するオンラインモニタリングの有無,内圧 [kPa],外径[mm],炭素析出物の有無,塩酸腐食,高温硫化物とナフテン酸腐食,高温硫化水素腐食,硫酸腐食,ふっ酸腐食,サワーウォーター腐食,アミン腐食,高温酸化,酸性サワー水腐食,冷却水腐食,外部(土壌側)腐食,CO2腐食,海水腐食,流れ加速型腐食(FAC),エロージョン・コロージョン,装置内面ライニング,苛性ソーダ応力腐食割れ,アミン応力腐食割れ,SSC,HIC / SOHIC,カーボネート応力腐食割れ,ポリチオン酸応力腐食割れ,塩化物応力腐食割れ,HSC-HF,HIC/SOHIC-HF,外面損傷,高温水素浸食,低温ぜい化,焼戻しぜい化,475ぜい化,シグマ相ぜい化,配管の機械的疲労,炉管クリープ
1,FHDS,分解ガソリン脱硫装置,2010/6/1,2017/7/1,4,2021/7/1,1,10,FCCガソリン系,VESSEL,1,001_FIL-9701ABC,張込フィルター,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,FHDS,分解ガソリン脱硫装置,2010/6/1,2017/7/1,4,2021/7/1,1,10,FCCガソリン系,VESSEL,2,002_V-9701,原料油供給槽,2010/6/1,7,3.200000048,2.309999943,7,2016/5/1,局部,無し,無し,Null,Null,Null,Null,Null,Null,Null,Null,炭素鋼,Null,Null,67,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,無し,Null,Null,無し,Null,Null,Null,Null,Null,Null,Null,Null,無し,3.61,Null,Null,Null,900,0.016000001,200,Null,Null,無し,無し,Null,無し,無し,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,無し,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.8,1398.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,FHDS,分解ガソリン脱硫装置,2010/6/1,2017/7/1,4,2021/7/1,1,10,FCCガソリン系,VESSEL,4,004_E-9701,選択水添張込分離塔底熱交換器 / Tube内面,2010/6/1,2.599999905,1,0.460000008,2.6,2010/6/1,全面,無し,無し,ガスオイル,Null,Null,Null,Null,Null,Null,Null,"1  Cr-0.2 Mo,1 Cr-0.5 Mo,1.25 Cr-0.5 Mo,2.25 Cr-1 Mo,3 Cr-1 Mo",20000,5000,111,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,無し,Null,Null,無し,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1Cr-0.5Mo,2,220,Null,無し,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,FHDS,分解ガソリン脱硫装置,2010/6/1,2017/7/1,4,2021/7/1,1,10,FCCガソリン系,VESSEL,5,005_E-9701,選択水添張込分離塔底熱交換器 / TS,2010/6/1,10,3.200000048,0,10.4,2014/6/1,全面,無し,無し,ガスオイル,Null,Null,Null,Null,Null,Null,Null,"1  Cr-0.2 Mo,1 Cr-0.5 Mo,1.25 Cr-0.5 Mo,2.25 Cr-1 Mo,3 Cr-1 Mo",20000,5000,111,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,無し,Null,Null,無し,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,炭素鋼,1,177,Null,無し,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,FHDS,分解ガソリン脱硫装置,2010/6/1,2017/7/1,4,2021/7/1,1,10,FCCガソリン系,VESSEL,6,006_CL-1,FCC Gasoline Feed(from RFCC to FIL-9701A/B),Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,無し,Null,Null,Null,Null,Null,Null,Null,Null,無し,7,Null,Null,Null,900,0.039999999,200,Null,Null,無し,無し,Null,無し,無し,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,無し,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,無し,小,0-2週,無し,無し,10-の枝管,ソケット溶接,良好,有り,Null,Null,Null,Null,Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.8,139.8,0,0,0,0,0,0,0,0,0,0,0,1,0
1,FHDS,分解ガソリン脱硫装置,2010/6/1,2017/7/1,4,2021/7/1,1,10,FCCガソリン系,VESSEL,7,007_CL-5,(from V-9701 to P-9701),2010/6/1,8.199999809,1.600000024,0.039999999,8.2,2010/6/1,全面,無し,無し,Null,Null,Null,Null,Null,Null,Null,Null,炭素鋼,Null,Null,67,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,無し,無し,Null,無し,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,無し,小,0-2週,無し,無し,10-の枝管,ソケット溶接,良好,有り,Null,Null,Null,Null,Null,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,FHDS,分解ガソリン脱硫装置,2010/6/1,2017/7/1,4,2021/7/1,1,10,FCCガソリン系,VESSEL,8,008_CL-5-2,V-9701 boots water,2010/6/1,5.099999905,1.600000024,0.079999998,5.1,2010/6/1,局部,無し,無し,Null,Null,Null,Null,Null,Null,Null,Null,炭素鋼,Null,Null,67,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,無し,無し,Null,無し,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,無し,小,0-2週,無し,無し,10-の枝管,ソケット溶接,良好,有り,Null,Null,Null,Null,Null,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,FHDS,分解ガソリン脱硫装置,2010/6/1,2017/7/1,4,2021/7/1,1,10,FCCガソリン系,VESSEL,9,009_CL-6,SHU feed Excahngers bypass(from P-9701 to CL-6),2010/6/1,8.199999809,1.5,2.609999895,8.2,2010/6/1,局部,無し,無し,Null,Null,Null,Null,Null,Null,Null,Null,炭素鋼,Null,Null,67,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,無し,無し,Null,無し,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,無し,小,0-2週,無し,無し,10-の枝管,ソケット溶接,良好,有り,Null,Null,Null,Null,Null,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,FHDS,分解ガソリン脱硫装置,2010/6/1,2017/7/1,4,2021/7/1,1,10,FCCガソリン系,VESSEL,10,010_CL-7,HX SHU inlet(form P-9701 to E-9701),2010/6/1,7.099999905,1.600000024,2.099999905,7.1,2010/6/1,局部,無し,無し,Null,Null,Null,Null,Null,Null,Null,Null,炭素鋼,Null,Null,67,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,無し,無し,Null,無し,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,無し,小,0-2週,無し,無し,10-の枝管,ソケット溶接,良好,有り,Null,Null,Null,Null,Null,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,FHDS,分解ガソリン脱硫装置,2010/6/1,2017/7/1,4,2021/7/1,2,20,メイクアップ水素系,VESSEL,11,011_XV-9701,Hydrogen UNIT BREAK VALVE FOR HPGSL to CL-8,2010/6/1,5.099999905,1.600000024,0.649999976,5.1,2010/6/1,局部,無し,無し,Null,Null,Null,Null,Null,Null,Null,Null,炭素鋼,Null,Null,38,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,無し,無し,Null,無し,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
